iter	Passed	Remaining
0	194	194013
1	208	104204
2	220	73150
3	231	57650
4	243	48368
5	253	41970
6	265	37623
7	276	34345
8	288	31792
9	298	29595
10	310	27890
11	324	26758
12	336	25583
13	346	24433
14	361	23708
15	371	22819
16	382	22131
17	396	21656
18	413	21358
19	427	20930
20	437	20385
21	450	20036
22	468	19916
23	527	21447
24	582	22723
25	609	22814
26	649	23402
27	662	22996
28	675	22609
29	685	22156
30	696	21777
31	708	21425
32	721	21143
33	733	20849
34	744	20537
35	757	20271
36	766	19961
37	780	19752
38	791	19514
39	804	19307
40	814	19054
41	825	18835
42	837	18632
43	847	18416
44	859	18231
45	872	18085
46	886	17965
47	895	17763
48	909	17659
49	921	17512
50	933	17377
51	944	17217
52	956	17082
53	967	16950
54	977	16787
55	988	16670
56	1001	16568
57	1011	16426
58	1021	16297
59	1035	16228
60	1050	16173
61	1060	16050
62	1071	15931
63	1084	15856
64	1094	15740
65	1105	15640
66	1116	15544
67	1129	15485
68	1140	15385
69	1151	15298
70	1163	15222
71	1173	15119
72	1183	15032
73	1196	14967
74	1206	14885
75	1218	14814
76	1230	14748
77	1241	14670
78	1252	14596
79	1263	14526
80	1272	14439
81	1283	14366
82	1300	14365
83	1313	14328
84	1329	14307
85	1342	14272
86	1352	14194
87	1363	14129
88	1374	14067
89	1383	13992
90	1395	13939
91	1405	13875
92	1417	13828
93	1429	13777
94	1440	13727
95	1451	13672
96	1463	13621
97	1474	13571
98	1484	13509
99	1496	13464
100	1508	13426
101	1517	13363
102	1529	13319
103	1541	13278
104	1550	13220
105	1562	13177
106	1573	13131
107	1583	13075
108	1594	13030
109	1605	12992
110	1615	12936
111	1627	12900
112	1639	12871
113	1649	12816
114	1662	12794
115	1676	12772
116	1689	12751
117	1698	12697
118	1709	12654
119	1724	12648
120	1741	12649
121	1753	12618
122	1762	12569
123	1773	12529
124	1783	12487
125	1794	12448
126	1805	12409
127	1816	12372
128	1825	12329
129	1839	12312
130	1851	12283
131	1861	12242
132	1872	12206
133	1884	12179
134	1894	12136
135	1904	12101
136	1916	12071
137	1925	12029
138	1940	12018
139	1952	11993
140	1961	11951
141	1972	11921
142	1985	11897
143	1994	11856
144	2004	11822
145	2016	11793
146	2025	11756
147	2037	11729
148	2049	11706
149	2059	11670
150	2071	11646
151	2083	11622
152	2093	11587
153	2103	11556
154	2114	11527
155	2124	11494
156	2136	11470
157	2153	11473
158	2166	11460
159	2184	11467
160	2203	11481
161	2222	11495
162	2244	11526
163	2259	11515
164	2272	11499
165	2311	11615
166	2334	11644
167	2354	11659
168	2373	11672
169	2388	11661
170	2400	11635
171	2420	11650
172	2436	11646
173	2458	11672
174	2474	11667
175	2487	11647
176	2505	11648
177	2531	11691
178	2563	11757
179	2584	11776
180	2607	11798
